csv_upc,cat_id,category,description,images,manufacturer,name,weight,upc,sem3_id
0000000000715756200020,13454,Coffee,Purchase By Weight: no. State of Readiness: ready ... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/a4b7b89397e517f05e9a2d8bd0c74d39,0.jpg']",Driscoll's,Driscoll's Whole Strawberries 1 lb,453592.37,715756200023,4utyZqsIpMM4EssU80oaAG
0000000000074641006050,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
0000000000078742147150,18203,Grocery & Gourmet Food,Sometimes a meal just needs that little something ... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/31dbc3d0d7df8a0584c8f484026b95e9,0.jpg']",Great Value Organic,"Great Value Organic Crunchy Peanut Butter – No Stir, 16 oz",N\A,078742147154,7i4bLtaSOWKmk0cAMmw4Ww
0000000000078742116760,17534,Health & Personal Care,Our guarantee is our promise that you'll be fully ... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/28912acc70439099b8cc4592651e0049,0.jpg']","Wal-Mart Stores, Inc.","Great Value Premium Assorted Cutlery, 48 ct",N\A,078742116761,4gFAhXzHkOKCMsgsCkA2Ye
0000000000016000432680,5597,Breakfast Foods,Oats 'N Honey Granola Crunch has the same deliciou... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/8676d9b35b0660f313ce3590e3a7e195,0.jpg']","General Mills Sales, Inc.","Nature Valley Granola Crunch Oats 'N Honey, 16.0 OZ",453592.37,016000432680,3BS8WuGrP6EIQccIeOsWEm
0000000000078742032750,21995,Baby Products,Everyday solutions from Great Value--make lunchtim... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/2900bf5176073766c0665e867a01ba08,0.jpg']","Wal-Mart Stores, Inc.","Great Value Pinch & Seal Zipper Food Storage Bags, Sandwich, 80 Ct",N\A,078742032757,1x44UVREzoGeu6KCYkieou
0000000000042238302410,16279,Toys & Games,Buy DISCONTINUEDGOLD-BEARS at Walmart.com,"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/097fad53926a2ba317794fe8d1379d74,0.jpg']",HAIRIBO,***DISCONTINUED***GOLD-BEARS,N\A,042238302419,0PPzm9sEJZeWgw2g26OQmU
0000000000017082876310,167,Jerky,Made with premium cuts of lean beef and seasoned w... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/657ccc16b4bca74f695caea7d97d0a5a,0.jpg']",Jack Links,"Jack Link's Meat Snacks Beef Jerky, Original, 2.85-Ounce (Pack of 4)",907184.74,017082876317,1Csko5wmFcGwGMEkuKmG4E
0000000000041716842940,2929,Cooking & Baking Supplies,"Naturally, Frigo Cheese Heads Light 100% Natural S... (visit site URLs for full description)","['http://sem3-idn.s3-website-us-east-1.amazonaws.com/05285edac745e88b9c91e6643e443f19,0.jpg']",Saputo Cheese,Frigo Cheese Heads String Cheese Light - 12 CT,21262.14,041716842942,60UoIwawu84UAW2cEYGggi
0000000000078257318910,2496,Camping & Hiking,Get a good night's rest with Intex Twin Raised Pil... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/bcfc18d952f56200ce603cbf19dc34d2,0.jpg']",Intex,"Intex Twin 18"" Dura-Beam Standard Raised Pillow Rest Airbed Mattress",N\A,078257318919,4p6wWW3KeW8Sg6kIgI6m86
